Datum;Wochentag;Umsatz
02.01.2020;Donnerstag;996
03.01.2020;Freitag;2191
04.01.2020;Samstag;2576.25
05.01.2020;Sonntag;2643.5
06.01.2020;Montag;1799
07.01.2020;Dienstag;842.5
08.01.2020;Mittwoch;434
09.01.2020;Donnerstag;367
10.01.2020;Freitag;671
11.01.2020;Samstag;1085
12.01.2020;Sonntag;1547.5
13.01.2020;Montag;2054
14.01.2020;Dienstag;422
15.01.2020;Mittwoch;499.5
16.01.2020;Donnerstag;273
17.01.2020;Freitag;181
18.01.2020;Samstag;760
19.01.2020;Sonntag;1980
20.01.2020;Montag;955
21.01.2020;Dienstag;254
22.01.2020;Mittwoch;698
23.01.2020;Donnerstag;488
24.01.2020;Freitag;648
25.01.2020;Samstag;1829
26.01.2020;Sonntag;2075.5
27.01.2020;Montag;1836
28.01.2020;Dienstag;800
29.01.2020;Mittwoch;468
30.01.2020;Donnerstag;1372
31.01.2020;Freitag;998
01.02.2020;Samstag;1678.5
02.02.2020;Sonntag;2677
03.02.2020;Montag;2385.5
04.02.2020;Dienstag;516
05.02.2020;Mittwoch;891
06.02.2020;Donnerstag;454.5
07.02.2020;Freitag;1871
08.02.2020;Samstag;1966.5
09.02.2020;Sonntag;1951
10.02.2020;Montag;1050
11.02.2020;Dienstag;983
12.02.2020;Mittwoch;1015
13.02.2020;Donnerstag;1316.5
14.02.2020;Freitag;1459
15.02.2020;Samstag;2517.5
16.02.2020;Sonntag;2246.5
17.02.2020;Montag;2520
18.02.2020;Dienstag;493
19.02.2020;Mittwoch;1181
20.02.2020;Donnerstag;628
21.02.2020;Freitag;1130
22.02.2020;Samstag;2324
23.02.2020;Sonntag;3051
24.02.2020;Montag;3048
25.02.2020;Dienstag;946
26.02.2020;Mittwoch;892
27.02.2020;Donnerstag;830
28.02.2020;Freitag;988
29.02.2020;Samstag;2142
01.03.2020;Sonntag;2265
02.03.2020;Montag;1463.5
03.03.2020;Dienstag;289
04.03.2020;Mittwoch;1704
05.03.2020;Donnerstag;758
06.03.2020;Freitag;816.5
07.03.2020;Samstag;1651
08.03.2020;Sonntag;1498
09.03.2020;Montag;1328
10.03.2020;Dienstag;880
11.03.2020;Mittwoch;715
12.03.2020;Donnerstag;502
13.03.2020;Freitag;712
14.03.2020;Samstag;1589
