Datum;Wochentag;Umsatz
27.03.2016;Sonntag;2519.3
28.03.2016;Montag;4062.5
29.03.2016;Dienstag;3492.5
30.03.2016;Mittwoch;2235.5
31.03.2016;Donnerstag;3249.5
01.04.2016;Freitag;2412
02.04.2016;Samstag;1095.5
03.04.2016;Sonntag;2265.5
04.04.2016;Montag;1519.5
05.04.2016;Dienstag;1506
06.04.2016;Mittwoch;1650.5
07.04.2016;Donnerstag;1415
08.04.2016;Freitag;1637.5
09.04.2016;Samstag;1511.5
10.04.2016;Sonntag;2836.5
11.04.2016;Montag;1737
12.04.2016;Dienstag;1157
13.04.2016;Mittwoch;1168
14.04.2016;Donnerstag;1750.5
15.04.2016;Freitag;2210
16.04.2016;Samstag;2896.5
17.04.2016;Sonntag;3852
18.04.2016;Montag;2167
19.04.2016;Dienstag;1248
20.04.2016;Mittwoch;1958.5
21.04.2016;Donnerstag;1329.5
22.04.2016;Freitag;1931.93
23.04.2016;Samstag;1721.5
24.04.2016;Sonntag;2762
25.04.2016;Montag;2851.5
26.04.2016;Dienstag;1617.5
27.04.2016;Mittwoch;2332.5
28.04.2016;Donnerstag;2509.5
29.04.2016;Freitag;1659
30.04.2016;Samstag;1900.5
01.05.2016;Sonntag;3872.5
02.05.2016;Montag;1689.5
03.05.2016;Dienstag;1077
04.05.2016;Mittwoch;1810
05.05.2016;Donnerstag;2007
06.05.2016;Freitag;1638
07.05.2016;Samstag;2471.5
08.05.2016;Sonntag;2163
09.05.2016;Montag;1878.5
10.05.2016;Dienstag;1901.5
11.05.2016;Mittwoch;1216
12.05.2016;Donnerstag;1479.4
13.05.2016;Freitag;2179.15
14.05.2016;Samstag;1387
15.05.2016;Sonntag;2173.5
16.05.2016;Montag;6407
17.05.2016;Dienstag;3317
18.05.2016;Mittwoch;2016.5
19.05.2016;Donnerstag;2013
20.05.2016;Freitag;2292
21.05.2016;Samstag;1861
22.05.2016;Sonntag;3350.5
23.05.2016;Montag;1753.5
24.05.2016;Dienstag;1431
25.05.2016;Mittwoch;3470.7
26.05.2016;Donnerstag;2343.5
27.05.2016;Freitag;2893.8
28.05.2016;Samstag;3534.2
29.05.2016;Sonntag;3112
30.05.2016;Montag;4120.5
31.05.2016;Dienstag;1576.5
01.06.2016;Mittwoch;1718.91
02.06.2016;Donnerstag;1720.15
03.06.2016;Freitag;2423.6
04.06.2016;Samstag;2786.5
05.06.2016;Sonntag;2277
06.06.2016;Montag;1656
07.06.2016;Dienstag;1124
08.06.2016;Mittwoch;1170
09.06.2016;Donnerstag;2065.5
10.06.2016;Freitag;2074.5
11.06.2016;Samstag;1726.5
12.06.2016;Sonntag;2794
13.06.2016;Montag;4596.5
14.06.2016;Dienstag;2523.5
15.06.2016;Mittwoch;3416.5
16.06.2016;Donnerstag;3472.5
17.06.2016;Freitag;1757
18.06.2016;Samstag;2845
19.06.2016;Sonntag;2236.5
20.06.2016;Montag;1860.5
21.06.2016;Dienstag;1479.5
22.06.2016;Mittwoch;1819
23.06.2016;Donnerstag;2180
24.06.2016;Freitag;1797.73
25.06.2016;Samstag;2314
26.06.2016;Sonntag;3095
27.06.2016;Montag;2339.5
28.06.2016;Dienstag;1871.5
29.06.2016;Mittwoch;2043.5
30.06.2016;Donnerstag;2487.5
01.07.2016;Freitag;2223
02.07.2016;Samstag;2074.5
03.07.2016;Sonntag;3887
04.07.2016;Montag;2568.5
05.07.2016;Dienstag;1830.98
06.07.2016;Mittwoch;2189
07.07.2016;Donnerstag;2812.5
08.07.2016;Freitag;2064
09.07.2016;Samstag;3012.27
10.07.2016;Sonntag;2036
11.07.2016;Montag;2021.5
12.07.2016;Dienstag;1750.69
13.07.2016;Mittwoch;2657
14.07.2016;Donnerstag;2945.5
15.07.2016;Freitag;3647.7
16.07.2016;Samstag;3657.5
17.07.2016;Sonntag;3163.5
18.07.2016;Montag;2544.5
19.07.2016;Dienstag;3208
20.07.2016;Mittwoch;3105
21.07.2016;Donnerstag;2688
22.07.2016;Freitag;2436
23.07.2016;Samstag;1561.5
24.07.2016;Sonntag;2191.5
25.07.2016;Montag;1701
26.07.2016;Dienstag;1696
27.07.2016;Mittwoch;1468.5
28.07.2016;Donnerstag;2724.5
29.07.2016;Freitag;2155
